Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
84,DeMarre Carroll\carrode01,SF,33,SAS,15,0,135,2.4,7.7,.310,0.8,3.5,.231,1.6,4.3,.375,3.2,5.3,.600,1.9,6.4,8.3,2.9,0.5,0.5,2.7,5.3,8.8
84,DeMarre Carroll\carrode01,SF,33,HOU,3,0,46,3.1,8.6,.364,1.6,6.3,.250,1.6,2.3,.667,1.6,3.9,.400,1.6,7.0,8.6,3.9,1.6,1.6,3.9,2.3,9.4
85,Jevon Carter\carteje01,PG,24,PHO,45,2,650,3.8,9.5,.401,2.2,5.4,.412,1.6,4.2,.387,0.8,1.0,.833,1.2,3.4,4.7,3.4,2.0,0.6,1.6,3.5,10.7
86,Vince Carter\cartevi01,SF,43,ATL,54,0,785,4.3,12.3,.351,2.3,8.0,.291,2.0,4.3,.462,1.1,1.3,.793,0.7,4.5,5.2,2.1,1.0,1.1,1.4,3.8,12.0
87,Wendell Carter\cartewe01,C,20,CHI,37,37,1109,5.4,10.0,.537,0.2,0.9,.214,5.2,9.1,.569,3.1,4.2,.736,4.2,7.7,11.9,1.4,1.0,1.1,2.0,4.6,14.1
88,Michael Carter-Williams\cartemi01,SG,28,ORL,36,0,642,4.5,10.9,.410,0.7,2.9,.255,3.8,8.1,.465,3.0,3.8,.794,2.1,4.7,6.8,5.1,2.1,1.0,2.1,3.5,12.7
89,Alex Caruso\carusal01,PG,25,LAL,54,0,972,3.8,9.1,.420,1.3,3.7,.347,2.5,5.3,.472,2.0,2.7,.764,0.5,3.4,3.9,3.7,2.1,0.6,1.6,3.1,11.0
90,Willie Cauley-Stein\caulewi01,C,26,TOT,50,39,1051,5.7,10.0,.574,0.0,0.0,.000,5.7,9.9,.576,1.3,2.2,.619,2.7,7.4,10.1,2.3,1.7,2.0,1.3,4.0,12.8
90,Willie Cauley-Stein\caulewi01,C,26,GSW,41,37,940,5.5,9.8,.560,0.0,0.0,,5.5,9.8,.560,1.3,2.2,.614,2.7,7.0,9.8,2.3,1.7,1.9,1.3,3.9,12.4
90,Willie Cauley-Stein\caulewi01,C,26,DAL,9,2,111,7.5,11.0,.676,0.0,0.3,.000,7.5,10.7,.697,1.3,1.9,.667,2.9,10.4,13.3,2.3,1.3,2.6,1.3,5.2,16.2
91,Tyson Chandler\chandty01,C,37,HOU,26,5,219,2.3,3.0,.778,0.0,0.0,,2.3,3.0,.778,1.0,2.1,.462,4.1,6.7,10.8,1.0,1.0,1.3,1.3,5.3,5.6
92,Wilson Chandler\chandwi01,SF,32,BRK,29,0,613,3.8,9.0,.416,1.7,5.8,.296,2.1,3.3,.625,1.1,1.2,.857,0.6,6.8,7.5,1.9,0.9,0.6,1.6,3.8,10.3
93,Joe Chealey\chealjo01,PG,24,CHO,2,0,19,0.0,5.7,.000,0.0,3.8,.000,0.0,1.9,.000,0.0,0.0,,0.0,0.0,0.0,1.9,5.7,0.0,0.0,3.8,0.0
94,Zylan Cheatham\cheatzy01,SF,24,NOP,3,0,31,2.3,5.8,.400,0.0,1.2,.000,2.3,4.6,.500,0.0,0.0,,1.2,5.8,7.0,2.3,0.0,1.2,3.5,5.8,4.6
95,Chris Chiozza\chiozch01,PG,24,TOT,16,0,153,3.1,10.6,.289,1.9,5.2,.364,1.2,5.4,.217,0.0,0.0,,0.2,4.2,4.5,8.2,2.8,0.5,2.8,2.8,8.0
95,Chris Chiozza\chiozch01,PG,24,WAS,10,0,123,2.9,10.0,.294,2.0,4.7,.438,0.9,5.3,.167,0.0,0.0,,0.0,4.4,4.4,8.2,2.9,0.6,2.6,3.5,7.9
95,Chris Chiozza\chiozch01,PG,24,BRK,6,0,30,3.6,13.2,.273,1.2,7.2,.167,2.4,6.0,.400,0.0,0.0,,1.2,3.6,4.8,8.4,2.4,0.0,3.6,0.0,8.4
96,Marquese Chriss\chrisma01,PF,22,GSW,53,15,1026,6.3,11.6,.541,0.3,1.3,.222,6.0,10.4,.580,3.6,4.7,.763,3.4,7.3,10.7,3.3,1.1,1.9,2.4,3.8,16.5
97,Gary Clark\clarkga01,PF,25,TOT,31,0,378,3.4,9.0,.379,2.6,7.8,.329,0.9,1.2,.692,0.8,0.9,.889,2.4,4.9,7.2,1.2,0.4,1.2,0.4,2.8,10.2
97,Gary Clark\clarkga01,PF,25,HOU,18,0,212,3.9,10.0,.390,3.1,8.7,.353,0.8,1.4,.625,1.0,1.2,.857,1.9,4.9,6.8,2.0,0.3,1.2,0.3,3.6,11.9
97,Gary Clark\clarkga01,PF,25,ORL,13,0,166,2.8,7.8,.361,2.0,6.7,.290,0.9,1.1,.800,0.4,0.4,1.000,3.0,4.8,7.8,0.2,0.4,1.3,0.4,1.7,8.0
98,Brandon Clarke\clarkbr01,PF,23,MEM,50,3,1086,8.4,13.5,.623,0.7,1.7,.404,7.7,11.8,.654,2.4,3.1,.785,2.6,7.1,9.7,2.4,0.9,1.4,1.5,2.7,20.0
99,Jordan Clarkson\clarkjo01,SG,27,TOT,58,0,1406,8.4,18.0,.465,3.1,8.4,.374,5.2,9.6,.545,2.9,3.5,.846,1.2,2.9,4.0,3.0,1.0,0.4,1.9,2.1,22.8
99,Jordan Clarkson\clarkjo01,SG,27,CLE,29,0,666,7.8,17.6,.442,3.2,8.6,.371,4.6,9.0,.509,4.1,4.6,.884,1.1,2.6,3.7,3.8,0.9,0.4,2.1,1.8,22.9
99,Jordan Clarkson\clarkjo01,SG,27,UTA,29,0,740,8.9,18.3,.485,3.1,8.3,.376,5.8,10.1,.575,1.9,2.4,.780,1.2,3.2,4.3,2.3,1.0,0.3,1.7,2.4,22.8
100,Nicolas Claxton\claxtni01,PF,20,BRK,15,0,187,5.2,9.2,.563,0.2,1.3,.143,5.0,7.9,.634,2.1,4.0,.524,3.7,4.8,8.5,3.1,0.2,1.5,1.7,2.7,12.7
101,Chris Clemons\clemoch01,SG,22,HOU,28,0,246,7.3,18.1,.403,4.8,13.6,.355,2.5,4.5,.548,0.9,1.0,.857,0.4,2.9,3.4,3.1,0.9,0.7,2.5,2.9,20.3
102,Antonius Cleveland\clevean01,SG,25,DAL,6,0,22,3.3,9.8,.333,0.0,1.6,.000,3.3,8.2,.400,1.6,3.3,.500,0.0,4.9,4.9,0.0,1.6,1.6,1.6,3.3,8.2
103,Amir Coffey\coffeam01,SG,22,LAC,9,0,80,4.5,9.9,.455,0.5,2.3,.200,4.1,7.7,.529,0.5,1.4,.333,1.4,3.6,5.0,3.2,0.5,0.5,0.9,4.1,9.9
104,John Collins\collijo01,PF,22,ATL,35,35,1141,9.5,16.3,.581,1.5,3.9,.395,7.9,12.4,.640,3.1,3.8,.802,3.1,8.3,11.3,1.6,0.8,1.8,1.9,3.8,23.5
105,Zach Collins\colliza01,PF,22,POR,3,3,86,3.8,8.0,.474,1.3,2.9,.429,2.5,5.0,.500,2.5,2.5,1.000,1.7,3.3,5.0,2.5,0.0,0.8,2.5,4.6,11.3
106,Mike Conley\conlemi01,PG,32,UTA,36,30,1015,6.0,15.1,.395,2.3,6.4,.361,3.7,8.7,.420,3.0,3.8,.792,0.8,3.4,4.2,5.3,0.9,0.1,2.3,2.9,17.2
107,Pat Connaughton\connapa01,SG,27,MIL,55,0,992,3.9,8.4,.463,1.5,4.4,.339,2.4,4.0,.600,0.7,0.9,.720,1.7,6.7,8.4,3.2,0.6,1.0,1.5,1.8,9.9
108,Quinn Cook\cookqu01,PG,26,LAL,35,0,393,6.8,15.2,.446,2.2,5.8,.381,4.6,9.4,.485,0.5,0.8,.667,0.6,2.9,3.6,3.6,1.0,0.1,2.2,1.8,16.3
109,Tyler Cook\cookty01,PF,22,CLE,11,0,35,7.2,10.3,.700,0.0,0.0,,7.2,10.3,.700,5.1,6.2,.833,4.1,6.2,10.3,1.0,1.0,0.0,1.0,4.1,19.5
110,Robert Covington\covinro01,PF,29,TOT,56,54,1661,5.4,12.6,.429,2.8,8.2,.343,2.6,4.4,.588,1.8,2.2,.806,1.0,6.4,7.4,1.5,1.9,1.4,1.8,3.8,15.5
110,Robert Covington\covinro01,PF,29,MIN,48,47,1411,5.5,12.7,.435,2.8,8.0,.346,2.8,4.7,.587,1.9,2.4,.798,0.9,6.4,7.3,1.4,2.0,1.1,1.9,3.8,15.7
110,Robert Covington\covinro01,PF,29,HOU,8,7,250,4.9,12.5,.391,3.2,9.6,.328,1.7,2.9,.600,1.2,1.3,.889,1.3,6.6,7.9,1.7,1.3,3.0,1.2,4.0,14.1
111,Allen Crabbe\crabbal01,SG,27,TOT,37,1,653,3.5,9.8,.356,2.0,6.6,.303,1.5,3.2,.466,0.6,0.8,.714,0.6,3.6,4.2,1.8,0.8,0.2,0.9,2.6,9.5
111,Allen Crabbe\crabbal01,SG,27,ATL,28,1,522,3.6,9.9,.364,2.1,6.4,.323,1.5,3.4,.440,0.6,0.8,.750,0.7,3.8,4.5,1.9,1.0,0.3,0.8,2.5,9.9
111,Allen Crabbe\crabbal01,SG,27,MIN,9,0,131,3.0,9.3,.324,1.6,7.1,.231,1.4,2.2,.625,0.3,0.5,.500,0.3,3.0,3.3,1.4,0.0,0.0,1.4,3.0,8.0
112,Torrey Craig\craigto01,SF,29,DEN,45,19,805,3.7,8.3,.449,1.3,4.2,.316,2.4,4.0,.589,0.9,1.4,.645,2.1,4.5,6.6,1.3,0.7,1.4,0.9,4.5,9.7
113,Jae Crowder\crowdja01,SF,29,TOT,53,46,1563,4.2,10.9,.385,2.4,7.4,.320,1.8,3.5,.523,2.1,2.6,.791,1.0,6.5,7.6,3.1,1.5,0.4,1.4,2.6,12.9
113,Jae Crowder\crowdja01,SF,29,MEM,45,45,1322,4.0,10.9,.368,2.1,7.2,.293,1.9,3.6,.519,2.0,2.6,.789,1.1,6.5,7.5,3.4,1.3,0.4,1.5,2.3,12.2
113,Jae Crowder\crowdja01,SF,29,MIA,8,1,241,5.2,11.1,.473,3.7,8.4,.446,1.5,2.7,.556,2.4,3.0,.800,0.7,6.9,7.6,1.6,2.4,0.6,0.7,3.9,16.6
114,Jarrett Culver\culveja01,SG,20,MIN,57,35,1375,5.3,13.6,.392,1.5,5.3,.287,3.8,8.3,.459,1.3,2.9,.464,1.7,3.4,5.1,2.7,1.4,1.0,2.0,2.9,13.5
115,Seth Curry\curryse01,SG,29,DAL,56,18,1365,6.4,13.0,.488,3.3,7.4,.448,3.0,5.6,.540,1.9,2.2,.866,0.7,2.8,3.5,2.9,0.9,0.2,1.4,2.5,17.9
116,Stephen Curry\curryst01,PG,31,GSW,4,4,112,8.7,21.2,.409,2.9,11.9,.243,5.8,9.3,.621,5.8,5.8,1.000,1.3,5.1,6.4,8.4,1.6,0.6,4.8,3.2,26.0
117,Troy Daniels\danietr01,SG,28,LAL,40,0,453,4.8,12.5,.389,3.1,8.8,.351,1.7,3.7,.478,0.8,1.3,.625,1.0,2.7,3.7,1.1,0.6,0.2,0.7,2.4,13.6
118,Anthony Davis\davisan02,PF,26,LAL,50,50,1726,9.6,18.8,.508,1.1,3.5,.324,8.4,15.2,.551,7.5,8.8,.844,2.4,7.5,9.8,3.4,1.6,2.6,2.6,2.5,27.7
119,Ed Davis\davised01,C,30,UTA,25,0,268,1.9,4.6,.412,0.0,0.0,,1.9,4.6,.412,0.7,1.5,.455,3.9,8.9,12.8,1.1,1.3,1.2,1.7,7.4,4.4
120,Terence Davis\daviste02,SG,22,TOR,59,2,1035,6.1,13.0,.469,3.0,7.3,.408,3.1,5.6,.549,1.4,1.6,.889,1.6,5.6,7.2,3.5,1.1,0.4,2.1,3.3,16.6
121,Dewayne Dedmon\dedmode01,C,30,TOT,40,14,678,4.6,11.4,.407,1.0,4.8,.209,3.6,6.5,.553,1.4,1.6,.839,2.5,8.7,11.2,1.0,1.0,2.0,2.8,6.4,11.6
121,Dewayne Dedmon\dedmode01,C,30,SAC,34,10,541,4.6,11.4,.404,0.9,4.7,.197,3.7,6.7,.550,1.5,1.9,.821,3.1,8.1,11.1,1.0,1.0,1.7,3.1,6.2,11.6
121,Dewayne Dedmon\dedmode01,C,30,ATL,6,4,137,4.7,11.3,.419,1.3,5.3,.250,3.4,6.0,.565,0.8,0.8,1.000,0.5,11.0,11.6,1.1,1.1,3.2,1.3,7.1,11.6
122,Matthew Dellavedova\dellama01,PG,29,CLE,51,0,628,2.8,8.1,.348,0.9,4.2,.203,1.9,3.8,.507,1.5,1.7,.867,0.7,2.5,3.2,7.6,0.9,0.1,2.6,3.7,8.0
123,DeMar DeRozan\derozde01,SF,30,SAS,55,55,1876,8.9,16.8,.531,0.2,0.6,.267,8.8,16.3,.540,6.0,7.1,.848,0.7,5.3,6.0,5.5,1.1,0.2,2.6,2.9,24.0
124,Cheick Diallo\diallch01,C,23,PHO,40,2,423,7.0,10.6,.661,0.1,0.2,.500,6.9,10.4,.664,2.6,3.0,.857,2.1,7.6,9.7,1.7,0.9,0.9,2.3,4.4,16.6
125,Hamidou Diallo\diallha01,SF,21,OKC,35,3,652,5.1,11.4,.444,0.3,1.7,.161,4.8,9.7,.494,1.4,2.2,.650,1.5,4.9,6.3,1.2,1.5,0.4,1.9,4.2,11.9
126,Gorgui Dieng\dienggo01,C,30,TOT,52,17,895,5.8,12.7,.457,2.0,5.4,.370,3.8,7.2,.522,2.1,2.7,.779,3.2,8.5,11.7,2.5,1.8,2.0,1.9,4.1,15.7
126,Gorgui Dieng\dienggo01,C,30,MIN,46,17,778,5.7,12.8,.448,2.1,5.6,.383,3.6,7.3,.497,2.2,2.7,.797,3.4,8.5,11.8,2.7,1.7,1.9,2.0,4.1,15.8
126,Gorgui Dieng\dienggo01,C,30,MEM,6,0,117,6.2,11.7,.526,1.2,4.6,.267,4.9,7.1,.696,1.8,2.8,.667,1.8,8.6,10.5,1.2,2.5,2.2,1.2,4.3,15.4
127,Spencer Dinwiddie\dinwisp01,SG,26,BRK,58,43,1818,7.8,18.8,.416,2.2,7.2,.310,5.6,11.5,.482,6.1,7.9,.776,0.6,3.4,4.0,7.7,0.7,0.4,3.1,3.3,23.9
128,Donte DiVincenzo\divindo01,SG,23,MIL,54,21,1231,5.4,11.9,.455,2.0,5.8,.340,3.5,6.1,.562,1.5,2.0,.776,1.6,6.0,7.6,3.4,2.2,0.4,1.9,2.6,14.3
129,Luka Dončić\doncilu01,PG,20,DAL,48,48,1577,10.3,22.3,.463,3.1,9.8,.319,7.2,12.5,.576,7.6,9.9,.767,1.5,8.9,10.3,9.6,1.1,0.2,4.7,2.7,31.3
130,Luguentz Dort\dortlu01,SG,20,OKC,25,17,535,3.8,8.8,.427,1.3,4.3,.297,2.5,4.5,.552,1.5,2.0,.759,0.9,1.7,2.6,1.1,1.5,0.1,0.9,4.4,10.3
131,Damyean Dotson\dotsoda01,SG,25,NYK,47,0,823,5.2,12.3,.418,2.6,7.0,.366,2.6,5.3,.488,1.0,1.4,.688,0.3,3.5,3.8,2.5,1.0,0.2,0.9,1.9,13.9
132,Sekou Doumbouya\doumbse01,SF,19,DET,33,19,667,4.5,11.5,.390,1.5,4.9,.297,3.0,6.6,.459,1.5,2.2,.675,1.0,4.9,5.8,0.8,1.0,0.4,1.7,3.8,11.9
133,PJ Dozier\doziepj01,PG,23,DEN,18,0,231,5.6,13.9,.404,1.1,4.2,.259,4.5,9.7,.468,1.1,1.7,.636,0.8,3.9,4.7,4.5,1.1,0.8,1.7,4.2,13.4
134,Goran Dragić\dragigo01,PG,33,MIA,48,1,1363,6.9,15.4,.449,2.8,7.3,.380,4.1,8.1,.511,4.0,5.3,.759,0.6,3.3,3.9,6.3,0.8,0.2,3.2,2.4,20.6
135,Andre Drummond\drumman01,C,26,TOT,54,53,1775,7.8,14.9,.528,0.1,0.6,.167,7.7,14.3,.543,3.1,5.5,.572,4.9,11.8,16.8,2.9,2.1,1.8,4.0,3.8,18.9
135,Andre Drummond\drumman01,C,26,DET,49,48,1654,7.8,14.8,.530,0.0,0.5,.048,7.8,14.3,.546,3.2,5.6,.584,4.9,11.9,16.9,3.0,2.1,1.8,3.8,3.8,18.9
135,Andre Drummond\drumman01,C,26,CLE,5,5,121,8.0,16.1,.500,1.2,2.7,.444,6.8,13.4,.511,1.8,4.8,.375,5.1,10.4,15.5,2.1,1.8,1.8,6.2,3.6,19.0
136,Jared Dudley\dudleja01,SF,34,LAL,38,1,306,2.4,5.8,.408,1.9,3.9,.485,0.5,1.9,.250,0.2,0.2,1.000,0.6,4.4,4.9,2.2,1.4,0.4,0.7,4.2,6.8
137,Kris Dunn\dunnkr01,PG,25,CHI,51,32,1269,4.3,9.7,.444,0.8,3.2,.259,3.5,6.5,.535,1.1,1.5,.741,0.7,4.6,5.3,4.9,2.9,0.5,1.9,4.5,10.6
138,Carsen Edwards\edwarca01,SG,21,BOS,34,0,299,4.1,12.6,.324,2.3,7.6,.302,1.8,5.1,.357,1.3,1.6,.846,0.6,4.3,4.9,2.6,1.2,0.4,1.8,3.5,11.8
139,Henry Ellenson\ellenhe01,PF,23,BRK,5,0,15,2.4,16.8,.143,0.0,9.6,.000,2.4,7.2,.333,0.0,0.0,,4.8,9.6,14.4,2.4,0.0,0.0,0.0,2.4,4.8
140,Wayne Ellington\ellinwa01,SG,32,NYK,29,1,438,3.9,11.2,.353,3.0,9.0,.339,0.9,2.2,.407,0.9,1.1,.846,0.3,3.5,3.8,2.3,1.0,0.2,1.2,2.4,11.8
141,Joel Embiid\embiijo01,C,25,PHI,43,43,1302,8.9,18.9,.472,1.5,4.4,.342,7.4,14.5,.511,8.3,10.2,.814,3.2,10.8,14.0,3.7,1.0,1.6,3.6,4.1,27.7
142,James Ennis\ennisja01,SF,29,TOT,55,4,904,4.6,10.5,.441,1.6,4.8,.333,3.0,5.7,.531,2.3,2.9,.797,2.2,4.7,6.9,1.8,1.0,0.6,1.4,3.7,13.2
142,James Ennis\ennisja01,SF,29,PHI,49,0,776,4.6,10.5,.442,1.7,4.9,.349,2.9,5.6,.525,2.2,2.8,.787,2.2,4.7,7.0,1.9,1.1,0.6,1.4,3.9,13.2
142,James Ennis\ennisja01,SF,29,ORL,6,4,128,4.5,10.4,.432,0.8,3.9,.214,3.7,6.5,.565,3.1,3.7,.846,2.3,4.5,6.8,1.1,0.3,0.6,0.8,2.0,12.9
143,Drew Eubanks\eubandr01,PF,22,SAS,8,0,42,8.6,12.9,.667,0.0,0.0,,8.6,12.9,.667,2.6,2.6,1.000,5.1,9.4,14.6,1.7,0.0,0.9,4.3,4.3,19.7
144,Jacob Evans\evansja02,SG,22,TOT,29,1,418,3.9,11.5,.336,1.1,3.4,.333,2.8,8.2,.337,2.2,2.5,.862,0.8,2.8,3.5,2.7,0.9,1.0,2.2,3.5,11.0
144,Jacob Evans\evansja02,SG,22,GSW,27,1,414,3.9,11.6,.338,1.1,3.3,.342,2.8,8.3,.337,2.2,2.5,.862,0.8,2.8,3.6,2.7,1.0,1.0,2.2,3.6,11.1
144,Jacob Evans\evansja02,SG,22,MIN,2,0,4,0.0,9.0,.000,0.0,9.0,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Dante Exum\exumda01,SG,24,TOT,35,1,485,4.2,8.8,.471,1.1,3.2,.349,3.0,5.6,.539,2.4,3.2,.744,0.9,4.1,5.0,3.0,1.0,0.6,2.3,2.8,11.8
145,Dante Exum\exumda01,SG,24,UTA,11,0,83,4.3,10.0,.435,0.9,2.6,.333,3.5,7.4,.471,0.9,0.9,1.000,1.3,3.9,5.2,3.0,0.4,0.9,4.3,3.5,10.4
145,Dante Exum\exumda01,SG,24,CLE,24,1,402,4.1,8.6,.479,1.2,3.3,.351,3.0,5.3,.559,2.7,3.7,.732,0.8,4.1,4.9,3.0,1.1,0.5,1.9,2.7,12.1
146,Tacko Fall\fallta01,C,24,BOS,6,0,24,13.5,18.0,.750,0.0,0.0,,13.5,18.0,.750,1.5,4.5,.333,0.0,16.5,16.5,0.0,0.0,3.0,4.5,7.5,28.5
147,Derrick Favors\favorde01,C,28,NOP,40,38,957,6.3,10.1,.623,0.0,0.2,.167,6.2,9.9,.634,1.2,2.1,.579,4.6,10.3,15.0,2.7,0.9,1.5,1.8,3.4,13.8
148,Cristiano Felício\feliccr01,PF,27,CHI,19,0,370,3.2,5.2,.623,0.0,0.2,.000,3.2,5.0,.647,1.8,2.2,.783,5.0,4.5,9.4,1.4,1.0,0.2,1.8,3.1,8.2
149,Terrance Ferguson\fergute01,SF,21,OKC,46,36,1102,2.3,6.1,.378,1.5,4.8,.311,0.8,1.3,.625,0.5,0.6,.789,0.7,1.5,2.2,1.4,0.8,0.5,0.9,4.4,6.6
150,Bruno Fernando\fernabr01,C,21,ATL,50,12,631,5.4,10.3,.522,0.3,2.0,.143,5.1,8.3,.614,1.6,2.7,.596,3.6,6.7,10.3,2.4,1.0,0.9,2.3,5.5,12.6
151,Yogi Ferrell\ferreyo01,PG,26,SAC,43,0,481,5.0,12.6,.399,1.4,5.1,.279,3.6,7.5,.480,2.2,2.6,.857,0.4,3.1,3.6,4.4,1.0,0.3,1.9,2.3,13.7
152,Dorian Finney-Smith\finnedo01,PF,26,DAL,60,57,1788,3.9,8.6,.458,1.9,5.1,.371,2.1,3.6,.582,1.4,1.9,.731,2.4,4.2,6.6,1.8,0.8,0.7,1.2,2.9,11.1
153,Bryn Forbes\forbebr01,SG,26,SAS,57,56,1435,5.5,13.3,.411,3.3,8.7,.382,2.2,4.6,.467,1.6,1.9,.827,0.3,2.7,3.0,2.6,0.8,0.0,1.3,2.7,15.8
154,Evan Fournier\fournev01,SG,27,ORL,58,58,1840,7.6,16.2,.469,3.0,7.5,.404,4.6,8.7,.525,3.2,3.9,.815,0.3,2.7,3.0,3.6,1.3,0.2,2.3,2.8,21.4
155,De'Aaron Fox\foxde01,PG,22,SAC,40,38,1267,8.2,17.4,.473,1.2,3.8,.323,7.0,13.6,.515,5.1,7.6,.669,0.8,3.9,4.6,7.8,1.6,0.6,3.6,3.3,22.8
156,Melvin Frazier\frazime01,SG,23,ORL,14,0,48,4.5,12.7,.353,3.0,5.2,.571,1.5,7.5,.200,1.5,3.0,.500,0.7,2.3,3.0,0.7,3.0,1.5,1.5,6.0,13.5
157,Michael Frazier\frazimi01,SG,25,HOU,8,0,66,2.2,6.0,.364,1.1,4.4,.250,1.1,1.6,.667,2.2,3.3,.667,0.5,1.1,1.6,0.5,1.1,0.0,1.1,7.1,7.6
158,Tim Frazier\fraziti01,PG,29,DET,27,11,355,3.4,9.5,.362,1.0,3.0,.333,2.4,6.5,.375,1.9,2.4,.792,0.9,2.4,3.3,9.4,1.4,0.4,3.7,4.3,9.8
159,Markelle Fultz\fultzma01,PG,21,ORL,58,53,1641,6.2,13.3,.464,0.6,2.4,.248,5.6,10.9,.512,2.1,2.8,.742,0.6,3.8,4.3,6.6,1.7,0.2,2.7,2.4,15.0
