Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
84,DeMarre Carroll\carrode01,SF,33,SAS,15,0,9.0,0.6,1.9,.310,0.2,0.9,.231,0.4,1.1,.375,.362,0.8,1.3,.600,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2
84,DeMarre Carroll\carrode01,SF,33,HOU,3,0,15.3,1.3,3.7,.364,0.7,2.7,.250,0.7,1.0,.667,.455,0.7,1.7,.400,0.7,3.0,3.7,1.7,0.7,0.7,1.7,1.0,4.0
85,Jevon Carter\carteje01,PG,24,PHO,45,2,14.4,1.5,3.8,.401,0.9,2.2,.412,0.6,1.7,.387,.517,0.3,0.4,.833,0.5,1.4,1.9,1.4,0.8,0.2,0.6,1.4,4.3
86,Vince Carter\cartevi01,SF,43,ATL,54,0,14.5,1.7,5.0,.351,0.9,3.2,.291,0.8,1.7,.462,.446,0.4,0.5,.793,0.3,1.8,2.1,0.8,0.4,0.5,0.6,1.5,4.9
87,Wendell Carter\cartewe01,C,20,CHI,37,37,30.0,4.5,8.4,.537,0.2,0.8,.214,4.3,7.6,.569,.547,2.6,3.5,.736,3.5,6.4,9.9,1.2,0.8,0.9,1.7,3.8,11.7
88,Michael Carter-Williams\cartemi01,SG,28,ORL,36,0,17.8,2.2,5.4,.410,0.4,1.4,.255,1.9,4.0,.465,.444,1.5,1.9,.794,1.1,2.3,3.4,2.5,1.1,0.5,1.0,1.8,6.3
89,Alex Caruso\carusal01,PG,25,LAL,54,0,18.0,1.9,4.5,.420,0.6,1.9,.347,1.3,2.7,.472,.492,1.0,1.3,.764,0.2,1.7,1.9,1.8,1.1,0.3,0.8,1.5,5.5
90,Willie Cauley-Stein\caulewi01,C,26,TOT,50,39,21.0,3.3,5.8,.574,0.0,0.0,.000,3.3,5.8,.576,.574,0.8,1.3,.619,1.6,4.3,5.9,1.3,1.0,1.2,0.8,2.4,7.5
90,Willie Cauley-Stein\caulewi01,C,26,GSW,41,37,22.9,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,0.9,1.4,.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9
90,Willie Cauley-Stein\caulewi01,C,26,DAL,9,2,12.3,2.6,3.8,.676,0.0,0.1,.000,2.6,3.7,.697,.676,0.4,0.7,.667,1.0,3.6,4.6,0.8,0.4,0.9,0.4,1.8,5.6
91,Tyson Chandler\chandty01,C,37,HOU,26,5,8.4,0.5,0.7,.778,0.0,0.0,,0.5,0.7,.778,.778,0.2,0.5,.462,1.0,1.6,2.5,0.2,0.2,0.3,0.3,1.2,1.3
92,Wilson Chandler\chandwi01,SF,32,BRK,29,0,21.1,2.2,5.3,.416,1.0,3.4,.296,1.2,1.9,.625,.510,0.6,0.7,.857,0.4,4.0,4.4,1.1,0.6,0.4,1.0,2.2,6.0
93,Joe Chealey\chealjo01,PG,24,CHO,2,0,9.5,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,1.5,0.0,0.0,1.0,0.0
94,Zylan Cheatham\cheatzy01,SF,24,NOP,3,0,10.3,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,0.0,0.0,,0.3,1.7,2.0,0.7,0.0,0.3,1.0,1.7,1.3
95,Chris Chiozza\chiozch01,PG,24,TOT,16,0,9.6,0.8,2.8,.289,0.5,1.4,.364,0.3,1.4,.217,.378,0.0,0.0,,0.1,1.1,1.2,2.2,0.8,0.1,0.8,0.8,2.1
95,Chris Chiozza\chiozch01,PG,24,WAS,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
95,Chris Chiozza\chiozch01,PG,24,BRK,6,0,5.0,0.5,1.8,.273,0.2,1.0,.167,0.3,0.8,.400,.318,0.0,0.0,,0.2,0.5,0.7,1.2,0.3,0.0,0.5,0.0,1.2
96,Marquese Chriss\chrisma01,PF,22,GSW,53,15,19.4,3.4,6.2,.541,0.2,0.7,.222,3.2,5.6,.580,.553,1.9,2.5,.763,1.8,3.9,5.8,1.8,0.6,1.0,1.3,2.0,8.8
97,Gary Clark\clarkga01,PF,25,TOT,31,0,12.2,1.2,3.1,.379,0.9,2.6,.329,0.3,0.4,.692,.521,0.3,0.3,.889,0.8,1.6,2.5,0.4,0.1,0.4,0.1,0.9,3.5
97,Gary Clark\clarkga01,PF,25,HOU,18,0,11.8,1.3,3.3,.390,1.0,2.8,.353,0.3,0.4,.625,.542,0.3,0.4,.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9
97,Gary Clark\clarkga01,PF,25,ORL,13,0,12.8,1.0,2.8,.361,0.7,2.4,.290,0.3,0.4,.800,.486,0.2,0.2,1.000,1.1,1.7,2.8,0.1,0.2,0.5,0.2,0.6,2.8
98,Brandon Clarke\clarkbr01,PF,23,MEM,50,3,21.7,5.1,8.2,.623,0.4,1.0,.404,4.7,7.1,.654,.648,1.5,1.9,.785,1.6,4.3,5.8,1.4,0.5,0.8,0.9,1.6,12.0
99,Jordan Clarkson\clarkjo01,SG,27,TOT,58,0,24.2,5.6,12.1,.465,2.1,5.7,.374,3.5,6.4,.545,.553,2.0,2.3,.846,0.8,1.9,2.7,2.0,0.7,0.3,1.3,1.4,15.4
99,Jordan Clarkson\clarkjo01,SG,27,CLE,29,0,23.0,5.0,11.2,.442,2.0,5.5,.371,2.9,5.8,.509,.532,2.6,3.0,.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6
99,Jordan Clarkson\clarkjo01,SG,27,UTA,29,0,25.5,6.3,13.0,.485,2.2,5.9,.376,4.1,7.1,.575,.570,1.3,1.7,.780,0.8,2.2,3.1,1.6,0.7,0.2,1.2,1.7,16.2
100,Nicolas Claxton\claxtni01,PF,20,BRK,15,0,12.5,1.8,3.2,.563,0.1,0.5,.143,1.7,2.7,.634,.573,0.7,1.4,.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
101,Chris Clemons\clemoch01,SG,22,HOU,28,0,8.8,1.8,4.4,.403,1.2,3.3,.355,0.6,1.1,.548,.536,0.2,0.3,.857,0.1,0.7,0.8,0.8,0.2,0.2,0.6,0.7,5.0
102,Antonius Cleveland\clevean01,SG,25,DAL,6,0,3.7,0.3,1.0,.333,0.0,0.2,.000,0.3,0.8,.400,.333,0.2,0.3,.500,0.0,0.5,0.5,0.0,0.2,0.2,0.2,0.3,0.8
103,Amir Coffey\coffeam01,SG,22,LAC,9,0,8.9,1.1,2.4,.455,0.1,0.6,.200,1.0,1.9,.529,.477,0.1,0.3,.333,0.3,0.9,1.2,0.8,0.1,0.1,0.2,1.0,2.4
104,John Collins\collijo01,PF,22,ATL,35,35,32.6,8.6,14.7,.581,1.4,3.5,.395,7.2,11.2,.640,.629,2.8,3.5,.802,2.8,7.5,10.3,1.5,0.7,1.6,1.7,3.4,21.3
105,Zach Collins\colliza01,PF,22,POR,3,3,28.7,3.0,6.3,.474,1.0,2.3,.429,2.0,4.0,.500,.553,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0
106,Mike Conley\conlemi01,PG,32,UTA,36,30,28.2,4.7,11.8,.395,1.8,5.0,.361,2.9,6.8,.420,.472,2.3,2.9,.792,0.6,2.7,3.3,4.2,0.7,0.1,1.8,2.3,13.5
107,Pat Connaughton\connapa01,SG,27,MIL,55,0,18.0,1.9,4.2,.463,0.7,2.2,.339,1.2,2.0,.600,.552,0.3,0.5,.720,0.9,3.3,4.2,1.6,0.3,0.5,0.7,0.9,5.0
108,Quinn Cook\cookqu01,PG,26,LAL,35,0,11.2,2.1,4.7,.446,0.7,1.8,.381,1.4,2.9,.485,.518,0.2,0.3,.667,0.2,0.9,1.1,1.1,0.3,0.0,0.7,0.6,5.1
109,Tyler Cook\cookty01,PF,22,CLE,11,0,3.2,0.6,0.9,.700,0.0,0.0,,0.6,0.9,.700,.700,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
110,Robert Covington\covinro01,PF,29,TOT,56,54,29.7,4.5,10.4,.429,2.3,6.8,.343,2.1,3.6,.588,.540,1.5,1.8,.806,0.8,5.3,6.1,1.2,1.6,1.2,1.4,3.1,12.7
110,Robert Covington\covinro01,PF,29,MIN,48,47,29.4,4.5,10.3,.435,2.3,6.5,.346,2.3,3.8,.587,.544,1.6,2.0,.798,0.8,5.2,6.0,1.2,1.7,0.9,1.5,3.1,12.8
110,Robert Covington\covinro01,PF,29,HOU,8,7,31.3,4.3,10.9,.391,2.8,8.4,.328,1.5,2.5,.600,.517,1.0,1.1,.889,1.1,5.8,6.9,1.5,1.1,2.6,1.0,3.5,12.3
111,Allen Crabbe\crabbal01,SG,27,TOT,37,1,17.6,1.7,4.8,.356,1.0,3.2,.303,0.7,1.6,.466,.458,0.3,0.4,.714,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6
111,Allen Crabbe\crabbal01,SG,27,ATL,28,1,18.6,1.9,5.1,.364,1.1,3.3,.323,0.8,1.8,.440,.469,0.3,0.4,.750,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,5.1
111,Allen Crabbe\crabbal01,SG,27,MIN,9,0,14.6,1.2,3.8,.324,0.7,2.9,.231,0.6,0.9,.625,.412,0.1,0.2,.500,0.1,1.2,1.3,0.6,0.0,0.0,0.6,1.2,3.2
112,Torrey Craig\craigto01,SF,29,DEN,45,19,17.9,1.8,4.1,.449,0.7,2.1,.316,1.2,2.0,.589,.530,0.4,0.7,.645,1.0,2.2,3.3,0.7,0.3,0.7,0.4,2.2,4.8
113,Jae Crowder\crowdja01,SF,29,TOT,53,46,29.5,3.4,8.9,.385,1.9,6.1,.320,1.5,2.8,.523,.494,1.7,2.2,.791,0.8,5.3,6.2,2.6,1.2,0.3,1.1,2.1,10.5
113,Jae Crowder\crowdja01,SF,29,MEM,45,45,29.4,3.3,8.9,.368,1.7,5.9,.293,1.5,3.0,.519,.466,1.7,2.1,.789,0.9,5.3,6.2,2.8,1.0,0.3,1.2,1.9,9.9
113,Jae Crowder\crowdja01,SF,29,MIA,8,1,30.1,4.4,9.3,.473,3.1,7.0,.446,1.3,2.3,.556,.642,2.0,2.5,.800,0.6,5.8,6.4,1.4,2.0,0.5,0.6,3.3,13.9
114,Jarrett Culver\culveja01,SG,20,MIN,57,35,24.1,3.6,9.1,.392,1.0,3.5,.287,2.5,5.5,.459,.448,0.9,1.9,.464,1.1,2.2,3.4,1.8,0.9,0.7,1.4,2.0,9.0
115,Seth Curry\curryse01,SG,29,DAL,56,18,24.4,4.3,8.8,.488,2.3,5.0,.448,2.1,3.8,.540,.615,1.3,1.5,.866,0.5,1.9,2.4,2.0,0.6,0.1,1.0,1.7,12.1
116,Stephen Curry\curryst01,PG,31,GSW,4,4,28.0,6.8,16.5,.409,2.3,9.3,.243,4.5,7.3,.621,.477,4.5,4.5,1.000,1.0,4.0,5.0,6.5,1.3,0.5,3.8,2.5,20.3
117,Troy Daniels\danietr01,SG,28,LAL,40,0,11.3,1.5,3.9,.389,1.0,2.8,.351,0.6,1.2,.478,.513,0.3,0.4,.625,0.3,0.9,1.2,0.4,0.2,0.1,0.2,0.8,4.3
118,Anthony Davis\davisan02,PF,26,LAL,50,50,34.5,9.2,18.0,.508,1.1,3.4,.324,8.1,14.6,.551,.539,7.2,8.5,.844,2.3,7.2,9.4,3.2,1.5,2.5,2.5,2.4,26.6
119,Ed Davis\davised01,C,30,UTA,25,0,10.7,0.6,1.4,.412,0.0,0.0,,0.6,1.4,.412,.412,0.2,0.4,.455,1.2,2.6,3.8,0.3,0.4,0.4,0.5,2.2,1.3
120,Terence Davis\daviste02,SG,22,TOR,59,2,17.5,3.0,6.3,.469,1.5,3.6,.408,1.5,2.7,.549,.584,0.7,0.8,.889,0.8,2.7,3.5,1.7,0.5,0.2,1.0,1.6,8.1
121,Dewayne Dedmon\dedmode01,C,30,TOT,40,14,17.0,2.2,5.4,.407,0.5,2.3,.209,1.7,3.1,.553,.451,0.7,0.8,.839,1.2,4.1,5.3,0.5,0.5,1.0,1.3,3.0,5.5
121,Dewayne Dedmon\dedmode01,C,30,SAC,34,10,15.9,2.0,5.0,.404,0.4,2.1,.197,1.6,2.9,.550,.444,0.7,0.8,.821,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1
121,Dewayne Dedmon\dedmode01,C,30,ATL,6,4,22.8,3.0,7.2,.419,0.8,3.3,.250,2.2,3.8,.565,.477,0.5,0.5,1.000,0.3,7.0,7.3,0.7,0.7,2.0,0.8,4.5,7.3
122,Matthew Dellavedova\dellama01,PG,29,CLE,51,0,12.3,1.0,2.8,.348,0.3,1.5,.203,0.7,1.3,.507,.401,0.5,0.6,.867,0.3,0.8,1.1,2.6,0.3,0.0,0.9,1.3,2.7
123,DeMar DeRozan\derozde01,SF,30,SAS,55,55,34.1,8.5,16.0,.531,0.1,0.5,.267,8.3,15.4,.540,.535,5.7,6.7,.848,0.7,5.0,5.7,5.3,1.0,0.2,2.5,2.7,22.8
124,Cheick Diallo\diallch01,C,23,PHO,40,2,10.6,2.1,3.1,.661,0.0,0.1,.500,2.0,3.1,.664,.665,0.8,0.9,.857,0.6,2.2,2.9,0.5,0.3,0.3,0.7,1.3,4.9
125,Hamidou Diallo\diallha01,SF,21,OKC,35,3,18.6,2.6,5.9,.444,0.1,0.9,.161,2.5,5.0,.494,.457,0.7,1.1,.650,0.8,2.5,3.3,0.6,0.8,0.2,1.0,2.2,6.1
126,Gorgui Dieng\dienggo01,C,30,TOT,52,17,17.2,2.8,6.1,.457,1.0,2.6,.370,1.8,3.5,.522,.537,1.0,1.3,.779,1.5,4.1,5.6,1.2,0.9,0.9,0.9,2.0,7.5
126,Gorgui Dieng\dienggo01,C,30,MIN,46,17,16.9,2.7,6.0,.448,1.0,2.6,.383,1.7,3.4,.497,.531,1.0,1.3,.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4
126,Gorgui Dieng\dienggo01,C,30,MEM,6,0,19.5,3.3,6.3,.526,0.7,2.5,.267,2.7,3.8,.696,.579,1.0,1.5,.667,1.0,4.7,5.7,0.7,1.3,1.2,0.7,2.3,8.3
127,Spencer Dinwiddie\dinwisp01,SG,26,BRK,58,43,31.3,6.8,16.3,.416,1.9,6.3,.310,4.8,10.1,.482,.475,5.3,6.8,.776,0.5,3.0,3.5,6.7,0.6,0.3,2.7,2.8,20.8
128,Donte DiVincenzo\divindo01,SG,23,MIL,54,21,22.8,3.4,7.5,.455,1.2,3.6,.340,2.2,3.9,.562,.537,1.0,1.2,.776,1.0,3.8,4.8,2.2,1.4,0.3,1.2,1.6,9.1
129,Luka Dončić\doncilu01,PG,20,DAL,48,48,32.9,9.4,20.4,.463,2.9,9.0,.319,6.6,11.4,.576,.533,6.9,9.0,.767,1.4,8.1,9.4,8.8,1.0,0.2,4.3,2.5,28.6
130,Luguentz Dort\dortlu01,SG,20,OKC,25,17,21.4,2.2,5.2,.427,0.8,2.6,.297,1.5,2.7,.552,.500,0.9,1.2,.759,0.5,1.0,1.5,0.7,0.9,0.0,0.5,2.6,6.1
131,Damyean Dotson\dotsoda01,SG,25,NYK,47,0,17.5,2.5,6.0,.418,1.3,3.4,.366,1.3,2.6,.488,.523,0.5,0.7,.688,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
132,Sekou Doumbouya\doumbse01,SF,19,DET,33,19,20.2,2.5,6.5,.390,0.8,2.8,.297,1.7,3.7,.459,.453,0.8,1.2,.675,0.5,2.7,3.3,0.5,0.6,0.2,1.0,2.1,6.7
133,PJ Dozier\doziepj01,PG,23,DEN,18,0,12.8,2.0,4.9,.404,0.4,1.5,.259,1.6,3.4,.468,.444,0.4,0.6,.636,0.3,1.4,1.7,1.6,0.4,0.3,0.6,1.5,4.8
134,Goran Dragić\dragigo01,PG,33,MIA,48,1,28.4,5.5,12.1,.449,2.2,5.8,.380,3.3,6.4,.511,.539,3.1,4.1,.759,0.5,2.6,3.1,5.0,0.6,0.2,2.5,1.9,16.3
135,Andre Drummond\drumman01,C,26,TOT,54,53,32.9,7.2,13.6,.528,0.1,0.6,.167,7.1,13.0,.543,.531,2.9,5.0,.572,4.5,10.8,15.3,2.7,1.9,1.6,3.6,3.5,17.3
135,Andre Drummond\drumman01,C,26,DET,49,48,33.8,7.3,13.9,.530,0.0,0.4,.048,7.3,13.4,.546,.531,3.0,5.2,.584,4.6,11.2,15.8,2.8,2.0,1.7,3.6,3.6,17.8
135,Andre Drummond\drumman01,C,26,CLE,5,5,24.2,5.4,10.8,.500,0.8,1.8,.444,4.6,9.0,.511,.537,1.2,3.2,.375,3.4,7.0,10.4,1.4,1.2,1.2,4.2,2.4,12.8
136,Jared Dudley\dudleja01,SF,34,LAL,38,1,8.1,0.5,1.3,.408,0.4,0.9,.485,0.1,0.4,.250,.571,0.1,0.1,1.000,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.9,1.5
137,Kris Dunn\dunnkr01,PG,25,CHI,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3
138,Carsen Edwards\edwarca01,SG,21,BOS,34,0,8.8,1.0,3.1,.324,0.6,1.9,.302,0.4,1.2,.357,.414,0.3,0.4,.846,0.1,1.1,1.2,0.6,0.3,0.1,0.4,0.9,2.9
139,Henry Ellenson\ellenhe01,PF,23,BRK,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4
140,Wayne Ellington\ellinwa01,SG,32,NYK,29,1,15.1,1.7,4.7,.353,1.3,3.8,.339,0.4,0.9,.407,.489,0.4,0.4,.846,0.1,1.4,1.6,1.0,0.4,0.1,0.5,1.0,5.0
141,Joel Embiid\embiijo01,C,25,PHI,43,43,30.3,7.5,15.9,.472,1.3,3.7,.342,6.3,12.2,.511,.512,7.0,8.6,.814,2.7,9.0,11.8,3.1,0.9,1.3,3.0,3.4,23.3
142,James Ennis\ennisja01,SF,29,TOT,55,4,16.4,2.1,4.8,.441,0.7,2.2,.333,1.4,2.6,.531,.517,1.1,1.3,.797,1.0,2.1,3.2,0.8,0.4,0.3,0.6,1.7,6.0
142,James Ennis\ennisja01,SF,29,PHI,49,0,15.8,2.0,4.6,.442,0.8,2.2,.349,1.3,2.4,.525,.524,1.0,1.2,.787,1.0,2.1,3.1,0.8,0.5,0.3,0.6,1.7,5.8
142,James Ennis\ennisja01,SF,29,ORL,6,4,21.3,2.7,6.2,.432,0.5,2.3,.214,2.2,3.8,.565,.473,1.8,2.2,.846,1.3,2.7,4.0,0.7,0.2,0.3,0.5,1.2,7.7
143,Drew Eubanks\eubandr01,PF,22,SAS,8,0,5.3,1.3,1.9,.667,0.0,0.0,,1.3,1.9,.667,.667,0.4,0.4,1.000,0.8,1.4,2.1,0.3,0.0,0.1,0.6,0.6,2.9
144,Jacob Evans\evansja02,SG,22,TOT,29,1,14.4,1.6,4.6,.336,0.4,1.3,.333,1.1,3.3,.337,.384,0.9,1.0,.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4
144,Jacob Evans\evansja02,SG,22,GSW,27,1,15.3,1.7,4.9,.338,0.5,1.4,.342,1.2,3.5,.337,.387,0.9,1.1,.862,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7
144,Jacob Evans\evansja02,SG,22,MIN,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Dante Exum\exumda01,SG,24,TOT,35,1,13.9,1.6,3.4,.471,0.4,1.2,.349,1.2,2.2,.539,.534,0.9,1.2,.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
145,Dante Exum\exumda01,SG,24,UTA,11,0,7.5,0.9,2.1,.435,0.2,0.5,.333,0.7,1.5,.471,.478,0.2,0.2,1.000,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2
145,Dante Exum\exumda01,SG,24,CLE,24,1,16.8,1.9,4.0,.479,0.5,1.5,.351,1.4,2.5,.559,.547,1.3,1.7,.732,0.4,1.9,2.3,1.4,0.5,0.3,0.9,1.3,5.6
146,Tacko Fall\fallta01,C,24,BOS,6,0,4.0,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.2,0.5,.333,0.0,1.8,1.8,0.0,0.0,0.3,0.5,0.8,3.2
147,Derrick Favors\favorde01,C,28,NOP,40,38,23.9,4.2,6.7,.623,0.0,0.2,.167,4.2,6.6,.634,.625,0.8,1.4,.579,3.1,6.9,10.0,1.8,0.6,1.0,1.2,2.3,9.2
148,Cristiano Felício\feliccr01,PF,27,CHI,19,0,19.5,1.7,2.8,.623,0.0,0.1,.000,1.7,2.7,.647,.623,0.9,1.2,.783,2.7,2.4,5.1,0.7,0.5,0.1,0.9,1.7,4.4
149,Terrance Ferguson\fergute01,SF,21,OKC,46,36,24.0,1.5,4.1,.378,1.0,3.2,.311,0.5,0.9,.625,.500,0.3,0.4,.789,0.5,1.0,1.5,1.0,0.5,0.3,0.6,2.9,4.4
150,Bruno Fernando\fernabr01,C,21,ATL,50,12,12.6,1.9,3.6,.522,0.1,0.7,.143,1.8,2.9,.614,.536,0.6,0.9,.596,1.3,2.4,3.6,0.8,0.4,0.3,0.8,1.9,4.4
151,Yogi Ferrell\ferreyo01,PG,26,SAC,43,0,11.2,1.6,3.9,.399,0.4,1.6,.279,1.1,2.3,.480,.455,0.7,0.8,.857,0.1,1.0,1.1,1.4,0.3,0.1,0.6,0.7,4.3
152,Dorian Finney-Smith\finnedo01,PF,26,DAL,60,57,29.8,3.3,7.1,.458,1.6,4.2,.371,1.7,3.0,.582,.567,1.1,1.6,.731,2.0,3.5,5.5,1.5,0.7,0.6,1.0,2.4,9.2
153,Bryn Forbes\forbebr01,SG,26,SAS,57,56,25.2,3.8,9.3,.411,2.3,6.1,.382,1.5,3.2,.467,.536,1.1,1.3,.827,0.2,1.9,2.1,1.8,0.6,0.0,0.9,1.9,11.1
154,Evan Fournier\fournev01,SG,27,ORL,58,58,31.7,6.7,14.3,.469,2.7,6.6,.404,4.0,7.7,.525,.562,2.8,3.4,.815,0.2,2.4,2.6,3.2,1.1,0.2,2.0,2.4,18.9
155,De'Aaron Fox\foxde01,PG,22,SAC,40,38,31.7,7.3,15.3,.473,1.1,3.3,.323,6.2,12.0,.515,.508,4.5,6.7,.669,0.7,3.4,4.1,6.9,1.5,0.5,3.2,2.9,20.0
156,Melvin Frazier\frazime01,SG,23,ORL,14,0,3.4,0.4,1.2,.353,0.3,0.5,.571,0.1,0.7,.200,.471,0.1,0.3,.500,0.1,0.2,0.3,0.1,0.3,0.1,0.1,0.6,1.3
157,Michael Frazier\frazimi01,SG,25,HOU,8,0,8.3,0.5,1.4,.364,0.3,1.0,.250,0.3,0.4,.667,.455,0.5,0.8,.667,0.1,0.3,0.4,0.1,0.3,0.0,0.3,1.6,1.8
158,Tim Frazier\fraziti01,PG,29,DET,27,11,13.1,1.3,3.5,.362,0.4,1.1,.333,0.9,2.4,.375,.415,0.7,0.9,.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
159,Markelle Fultz\fultzma01,PG,21,ORL,58,53,28.3,4.8,10.4,.464,0.5,1.9,.248,4.4,8.6,.512,.487,1.6,2.2,.742,0.5,2.9,3.4,5.2,1.3,0.2,2.1,1.9,11.8
